選手スラッグ,選手名,読み,プロフィール種別,カテゴリ,年度,使用確認時期,更新日,公開状態,プロ詳細URL,並び順,クラブカテゴリ,番手,メーカー,モデル,ロフト,シャフトメーカー,シャフトモデル,シャフト重量,フレックス,キャリー距離,総距離,クラブ別メモ,主な確認ソース,主な確認ソースURL,ソース確認日,全ソースURL,プロフィール概要
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,11,Iron,PW,Bridgestone,222CB+ Iron,,N.S.PRO,Modus3 System3 Tour125,,X,,,GDO記事の222CB+アイアン(4番-PW)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,12,Wedge,GW,Bridgestone,BRM2 Wedge,52°,N.S.PRO,Modus3 System3 Tour125,,X,,,GDO記事のBRM2ウェッジ(52度、58度)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,13,Wedge,LW,Bridgestone,BRM2 Wedge,58°,N.S.PRO,Modus3 System3 Tour125,,X,,,GDO記事のBRM2ウェッジ(52度、58度)表記を番手ごとに展開。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
katsumasa-miyamoto,宮本 勝昌,ミヤモト カツマサ,tour_pro,verified_batch,2026,2024年 東建ホームメイトカップ,2026-04-10,true,https://www.mybagpro.jp/pros/katsumasa-miyamoto,14,Putter,,Scotty Cameron,Phantom X 11 Putter,,,,,,,,GDO 2024年東建ホームメイトカップ取材より確認。,宮本勝昌 クラブセッティング 2024年 東建ホームメイトカップ - GDO,https://news.golfdigest.co.jp/players/setting/24/,2026-04-19,https://news.golfdigest.co.jp/players/setting/24/ | https://www.jgto.org/player/2178/profile,2024年東建ホームメイトカップで確認できた宮本勝昌の14本セッティングを掲載しています。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,1,Driver,1W,,プロギア RS ドライバー,9°,,Tour AD(ツアー エーディ)UB,60g台,X,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,2,Driver,1W,,r7 QUAD(アールセブンクワット)ミニドライバー,13.5°,,Tour AD(ツアー エーディ)GC,70g台,X,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,3,Fairway Wood,3W,,プロギア RS プロトタイプ,15°,,Tour AD(ツアー エーディ)DI,70g台,X,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,4,Fairway Wood,FW,,パラダイム Ai スモーク ◆◆◆(トリプルダイヤモンド) フェアウェイウッド,,,グラファイトデザイン ツアーAD クアトロテック,85g,X,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,5,Utility,UT,,B-Limited(リミテッド)229HI ユーティリティ,,,トゥルーテンパー AMTツアーホワイト,,X100,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,6,Iron,4I,,プロギア 01アイアン,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,7,Iron,5I,,プロギア 01アイアン,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,8,Iron,6I,,プロギア 01アイアン,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,9,Iron,7I,,プロギア 01アイアン,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,10,Iron,8I,,プロギア 01アイアン,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,11,Iron,9I,,プロギア 01アイアン,,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,12,Wedge,46°,Titleist,VOKEY(ボーケイ)SM10 ウェッジ,46°,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,13,Wedge,50°,Titleist,VOKEY(ボーケイ)SM10 ウェッジ,50°,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,14,Wedge,54°,Titleist,ボーケイ ウェッジワークス,54°,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,15,Wedge,60°,,アクシスゴルフ Z5 TOURウェッジ,60°,,トゥルーテンパー ダイナミックゴールド EX ツアーイシュー,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
tomoharu-otsuki,大槻 智春,オオツキ トモハル,tour_pro,verified_batch,2026,2026年 中日クラウンズ,2026-05-21,true,https://www.mybagpro.jp/pros/tomoharu-otsuki,16,Putter,,Scotty Cameron,スコッティキャメロン 009M,,,,,,,,GDO「大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本」（取材：2026年 中日クラウンズ ※練習日のため16本）で確認。,GDO 大槻智春 クラブセッティング 2026年 中日クラウンズ ※練習日のため16本,https://news.golfdigest.co.jp/players/setting/6680/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/6680/2026/1/ | https://news.golfdigest.co.jp/players/setting/6680/,中日クラウンズ ※練習日のため16本時点で確認できた大槻 智春のクラブセッティングと使用ボールを掲載するプロフィール。
yui-kawamoto,河本 結,カワモト ユイ,tour_pro,verified_batch,2026,2026年 ワールドレディスチャンピオンシップサロンパスカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yui-kawamoto,1,Driver,1W,,QUANTUM ◆◆◆(トリプルダイヤモンド)MAX ドライバー,9°,,SPEEDER NX GOLD(長さ45.5インチ、、),50g台,S,,,GDO「河本結 クラブセッティング 2026年 ワールドレディスチャンピオンシップサロンパスカップ」（取材：2026年 ワールドレディスチャンピオンシップサロンパスカップ）で確認。,GDO 河本結 クラブセッティング 2026年 ワールドレディスチャンピオンシップサロンパスカップ,https://news.golfdigest.co.jp/players/setting/12505/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/12505/2026/1/ | https://news.golfdigest.co.jp/players/setting/12505/,ワールドレディスチャンピオンシップサロンパスカップ時点で確認できた河本 結のクラブセッティングと使用ボールを掲載するプロフィール。
yui-kawamoto,河本 結,カワモト ユイ,tour_pro,verified_batch,2026,2026年 ワールドレディスチャンピオンシップサロンパスカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yui-kawamoto,2,Fairway Wood,3W,,QUANTUM MAX TOUR,16.5°,,SPEEDER NX GOLD,50g台,S,,,GDO「河本結 クラブセッティング 2026年 ワールドレディスチャンピオンシップサロンパスカップ」（取材：2026年 ワールドレディスチャンピオンシップサロンパスカップ）で確認。,GDO 河本結 クラブセッティング 2026年 ワールドレディスチャンピオンシップサロンパスカップ,https://news.golfdigest.co.jp/players/setting/12505/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/12505/2026/1/ | https://news.golfdigest.co.jp/players/setting/12505/,ワールドレディスチャンピオンシップサロンパスカップ時点で確認できた河本 結のクラブセッティングと使用ボールを掲載するプロフィール。
yui-kawamoto,河本 結,カワモト ユイ,tour_pro,verified_batch,2026,2026年 ワールドレディスチャンピオンシップサロンパスカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yui-kawamoto,3,Utility,3UT,,XR OS ユーティリティ,19°,,MCH シャフト,70g台,S,,,GDO「河本結 クラブセッティング 2026年 ワールドレディスチャンピオンシップサロンパスカップ」（取材：2026年 ワールドレディスチャンピオンシップサロンパスカップ）で確認。,GDO 河本結 クラブセッティング 2026年 ワールドレディスチャンピオンシップサロンパスカップ,https://news.golfdigest.co.jp/players/setting/12505/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/12505/2026/1/ | https://news.golfdigest.co.jp/players/setting/12505/,ワールドレディスチャンピオンシップサロンパスカップ時点で確認できた河本 結のクラブセッティングと使用ボールを掲載するプロフィール。
yui-kawamoto,河本 結,カワモト ユイ,tour_pro,verified_batch,2026,2026年 ワールドレディスチャンピオンシップサロンパスカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yui-kawamoto,4,Utility,4UT,,XR OS ユーティリティ,22°,,MCH シャフト,70g台,S,,,GDO「河本結 クラブセッティング 2026年 ワールドレディスチャンピオンシップサロンパスカップ」（取材：2026年 ワールドレディスチャンピオンシップサロンパスカップ）で確認。,GDO 河本結 クラブセッティング 2026年 ワールドレディスチャンピオンシップサロンパスカップ,https://news.golfdigest.co.jp/players/setting/12505/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/12505/2026/1/ | https://news.golfdigest.co.jp/players/setting/12505/,ワールドレディスチャンピオンシップサロンパスカップ時点で確認できた河本 結のクラブセッティングと使用ボールを掲載するプロフィール。
yui-kawamoto,河本 結,カワモト ユイ,tour_pro,verified_batch,2026,2026年 ワールドレディスチャンピオンシップサロンパスカップ,2026-05-21,true,https://www.mybagpro.jp/pros/yui-kawamoto,5,Iron,6I,,APEX PRO アイアン＜2021年＞,,,NSプロ 850GH,,S,,,GDO「河本結 クラブセッティング 2026年 ワールドレディスチャンピオンシップサロンパスカップ」（取材：2026年 ワールドレディスチャンピオンシップサロンパスカップ）で確認。,GDO 河本結 クラブセッティング 2026年 ワールドレディスチャンピオンシップサロンパスカップ,https://news.golfdigest.co.jp/players/setting/12505/2026/1/,2026-05-21,https://news.golfdigest.co.jp/players/setting/12505/2026/1/ | https://news.golfdigest.co.jp/players/setting/12505/,ワールドレディスチャンピオンシップサロンパスカップ時点で確認できた河本 結のクラブセッティングと使用ボールを掲載するプロフィール。
